num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
529,245,163,0,0,1,21,1,0
414,196,105,0,0,0,42,1,1
74,55,12,0,0,0,9,0,0
236,137,92,0,0,0,10,2,0
1047,468,295,1,1,0,74,1,0
97,71,14,0,0,0,10,1,0
134,83,33,0,0,0,24,0,0
451,344,59,0,0,0,95,0,0
262,108,94,0,0,0,7,0,0
259,129,104,0,0,0,5,0,0
71,53,27,0,0,0,5,0,0
218,116,72,0,0,0,5,0,1
85,79,11,0,0,0,1,0,1
100,71,25,2,1,2,17,0,0
71,51,26,0,0,3,4,0,0
81,63,35,0,0,0,0,0,1
67,49,30,0,0,0,0,0,0
165,117,57,0,0,0,5,0,0
167,145,23,0,0,0,27,0,0
437,217,120,0,0,0,26,0,1
150,112,31,1,1,0,17,0,0
40,33,10,0,0,0,0,0,1
167,108,71,0,0,3,6,1,0
399,233,138,2,2,0,5,1,0
161,119,53,1,1,0,2,1,1
75,64,6,0,0,2,50,0,0
534,272,166,0,0,0,55,1,0
407,201,129,0,0,0,50,0,0
106,69,39,0,0,0,3,0,0
374,189,130,1,1,1,6,0,0
459,243,43,1,1,0,60,1,0
49,38,20,0,0,0,3,0,0
1512,493,599,5,5,1,4,1,1
40,36,11,0,0,0,3,0,1
76,59,19,0,0,0,5,0,0
93,79,6,0,0,0,9,1,0
779,334,258,0,0,0,46,0,1
266,161,91,0,0,0,10,1,0
132,48,9,0,0,0,4,1,0
36,36,12,0,0,0,2,0,0
37,27,14,0,0,0,2,0,1
2625,941,828,8,5,10,235,2,0
809,241,198,0,0,40,98,1,0
28,24,9,0,0,0,2,1,0
27,26,10,0,0,0,0,0,0
53,43,22,0,0,0,1,0,1
657,175,208,0,0,0,116,0,0
148,92,66,0,0,0,3,0,0
71,53,20,0,0,0,1,0,0
71,34,11,0,0,0,16,0,0
721,287,241,0,0,0,45,0,0
233,130,68,0,0,0,32,0,0
46,35,20,0,0,0,0,0,0
37,30,7,0,0,0,11,0,0
51,45,17,0,0,1,5,0,0
535,211,66,0,0,0,36,0,0
47,46,5,0,0,0,2,0,1
196,92,58,0,0,0,15,1,0
39,34,14,0,0,0,3,0,0
115,87,42,0,0,0,0,1,0
109,56,17,0,0,1,14,0,0
246,114,90,0,0,0,9,0,0
63,52,14,0,0,0,5,0,1
214,123,89,0,0,2,10,0,0
218,125,61,0,0,0,26,1,0
78,56,9,0,0,3,12,0,0
58,40,7,0,0,3,11,0,1
104,77,27,0,0,1,7,0,0
643,301,212,0,0,11,45,2,0
372,175,133,0,0,0,37,0,0
388,198,149,0,0,0,9,1,0
227,135,74,0,0,0,13,1,0
106,78,28,1,1,2,8,0,1
407,213,147,0,0,0,12,1,0
32,29,5,0,0,1,0,0,0
58,42,28,0,0,0,2,0,0
185,139,55,0,0,0,14,0,0
61,54,10,0,0,1,10,0,0
1524,563,351,54,19,8,161,2,0
83,55,18,0,0,1,17,0,0
16,16,2,0,0,0,0,0,1
26,23,3,0,0,0,8,0,1
87,59,10,1,1,3,8,0,0
84,70,26,0,0,0,2,1,1
133,82,47,0,0,0,4,2,1
241,101,45,0,0,5,57,0,0
159,62,14,0,0,1,17,0,0
312,161,96,0,0,1,39,0,0
440,237,143,0,0,0,21,2,0
582,287,30,0,0,0,300,0,1
190,130,59,0,0,3,17,1,0
658,315,185,4,3,7,46,1,0
194,111,88,0,0,0,3,0,0
48,38,26,0,0,0,1,0,0
110,77,41,2,2,0,2,1,0
481,231,88,3,2,24,60,0,0
736,323,259,0,0,0,44,1,0
56,45,16,1,1,2,7,0,0
100,65,30,0,0,1,4,0,0
253,145,74,0,0,0,6,1,1
372,185,90,18,3,1,42,0,0
195,114,51,0,0,0,10,0,0
101,69,39,0,0,0,3,0,0
90,46,17,0,0,0,25,1,0
1040,434,264,2,2,2,130,0,0
186,123,58,0,0,0,2,1,1
469,214,194,2,2,1,12,0,1
29,25,11,0,0,0,0,1,0
57,50,13,0,0,0,3,0,0
185,128,63,0,0,0,14,0,1
205,129,14,0,0,0,59,0,1
381,219,148,0,0,0,7,2,1
534,286,138,8,4,10,43,0,0
93,81,6,0,0,1,14,0,0
25,18,4,0,0,1,8,0,0
138,80,44,0,0,0,4,1,0
43,36,11,0,0,0,7,0,0
180,110,54,1,1,0,18,0,0
195,117,84,0,0,0,3,0,0
383,208,163,0,0,1,9,1,1
30,27,11,0,0,0,1,1,0
42,35,11,0,0,0,3,0,0
85,66,24,0,0,0,10,0,1
115,72,37,0,0,2,20,0,0
67,54,24,0,0,0,4,1,0
114,71,28,0,0,0,0,1,0
188,121,79,0,0,0,6,1,0
150,104,53,0,0,3,5,0,0
612,357,181,1,1,0,36,0,0
